time,ref.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.I_out,pid.u,drive_coupled.torque,pendulum.alpha,pendulum.omega,pendulum.q
s,rad,V,V,-,-,m·N,rad/s²,rad/s,rad
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,-0.0,0.0,0.0
0.005,0.0027415285926664303,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0
0.01,0.005482888074935513,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0
0.015,0.008223909346841422,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0
0.02,0.01096442332928075,1.5058823529411764,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0
0.025,0.013704260974442082,1.5058823529411764,1.4941176470588236,0.0011764705882352901,1.0,-0.0,0.0,0.0,0.0
0.030000000000000002,0.016443253276233676,1.5058823529411764,1.4941176470588236,0.0023529411764705802,1.0,162.7377308498824,0.0,0.0,0.0
0.035,0.019181231280708554,1.5058823529411764,1.4941176470588236,0.0035294117647058703,1.0,160.85054605827747,8.564985155810156,0.04282492577905079,0.0
0.04,0.02191802609648637,1.5176470588235293,1.4941176470588236,0.00470588235294116,0.9953726397966558,159.91470216151924,8.507933066932457,0.08537862333668089,0.00021412462889525382
0.045,0.024653468905171432,1.5176470588235293,1.4941176470588236,0.007058823529411738,1.0,158.25133390147613,8.45281319496845,0.12767066488294793,0.0006410177455786581
0.049999999999999996,0.02738739097176622,1.5176470588235293,1.4941176470588236,0.009411764705882317,1.0,158.10902711907386,8.356656509062734,0.16949578059810166,0.0012793710699933974
0.05499999999999999,0.03011962365507973,1.5176470588235293,1.4941176470588236,0.011764705882352896,1.0,157.20606282004235,8.337611813821253,0.21123937739529067,0.0021268499729839054
0.05999999999999999,0.03284999841813011,1.5294117647058822,1.4941176470588236,0.014117647058823474,1.0,156.3141059539744,8.276217814222301,0.25268968193910524,0.0031830468599603583
0.06499999999999999,0.03557834683854075,1.5294117647058822,1.4941176470588236,0.017647058823529342,1.0,155.42907307971373,8.21247833524246,0.293834870535227,0.0044464952696558835
0.06999999999999999,0.03830450061892941,1.5294117647058822,1.4941176470588236,0.021176470588235213,1.0,154.55132479309523,8.146408892509776,0.33466319305698267,0.005915669622332019
0.075,0.041028291597289594,1.5294117647058822,1.5058823529411764,0.024705882352941085,1.0,153.6797940008679,8.078049305258805,0.3751630944371032,0.007588985587616934
0.08,0.04374955175736355,1.5411764705882354,1.5058823529411764,0.027058823529411666,1.0,152.81652543120504,8.00736518192413,0.4153228436205774,0.009464801059802451
0.085,0.04646811323900631,1.5411764705882354,1.5058823529411764,0.030588235294117562,1.0,151.9610403538294,7.934486343741063,0.4551313545078121,0.01154141527790534
0.09000000000000001,0.04918380834854014,1.5411764705882354,1.5058823529411764,0.034117647058823454,1.0,151.11253557957065,7.859411461921001,0.4945775303471087,0.013817072050444404
0.09500000000000001,0.0518964695690986,1.5411764705882354,1.5058823529411764,0.037647058823529346,1.0,150.27330764729575,7.782122254025795,0.5336501788892422,0.01628995970217995
0.10000000000000002,0.05460592957095985,1.5529411764705883,1.5058823529411764,0.04117647058823524,1.0,149.44175815568764,7.702764323561928,0.5723388317078766,0.01895821059662616
0.10500000000000002,0.05731202122186827,1.5529411764705883,1.5176470588235293,0.04588235294117642,1.0,148.61844616902877,7.621279946642075,0.6106327277179872,0.021819904755165546
0.11000000000000003,0.060014577597344,1.5529411764705883,1.5176470588235293,0.049411764705882315,1.0,147.8043687794336,7.5377247180176665,0.6485213795883185,0.024873068393755485
0.11500000000000003,0.06271343199097962,1.5529411764705883,1.5176470588235293,0.05294117647058821,1.0,146.99944503672108,7.452178721532137,0.6859946961892198,0.02811567529169708
0.12000000000000004,0.0654084179247234,1.5647058823529412,1.5294117647058822,0.0564705882352941,1.0,146.2037781150325,7.364666262723036,0.7230427037417554,0.03154564877264318
0.12500000000000003,0.06809936915914841,1.5647058823529412,1.5294117647058822,0.059999999999999984,1.0,145.41802425612153,7.275221885371262,0.7596555969570119,0.03516086229135195
0.13000000000000003,0.07078611970370703,1.5647058823529412,1.5294117647058822,0.06352941176470588,1.0,144.64111364294064,7.18391014421968,0.7958238890551981,0.03895914027613701
0.13500000000000004,0.07346850382696993,1.5647058823529412,1.5411764705882354,0.06705882352941177,1.0,143.87476894410608,7.090705753883531,0.8315379625784863,0.042938259721413005
0.14000000000000004,0.07614635606684923,1.576470588235294,1.5411764705882354,0.06941176470588235,0.4767754907670998,143.1181893733372,6.995730798753901,0.8667888061070146,0.04709594953430544
0.14500000000000005,0.07881951124080497,1.576470588235294,1.5411764705882354,0.07294117647058823,1.0,57.22352889442924,6.89897617799547,0.9015673584423995,0.05142989356484051
0.15000000000000005,0.08148780445603432,1.576470588235294,1.5529411764705883,0.07647058823529411,1.0,142.6232849109616,2.3190925069685533,0.9134578070855812,0.05593773035705252
0.15500000000000005,0.084151071119643,1.576470588235294,1.5529411764705883,0.0788235294117647,0.5026347708873629,141.40044891964962,6.730191374507429,0.9474075645746948,0.06050501939248043
0.16000000000000006,0.08680914694879806,1.588235294117647,1.5529411764705883,0.08117647058823528,0.5695720693918473,59.73272326394709,6.627403500207447,0.9808544005681061,0.06524205721535391
0.16500000000000006,0.08946186798086175,1.588235294117647,1.5647058823529412,0.08470588235294116,1.0,70.85755501814589,2.2648474480505136,0.9924992928937226,0.07014632921819444
0.17000000000000007,0.09210907058350534,1.588235294117647,1.5647058823529412,0.08705882352941174,0.6147915632103882,140.5480011352934,2.7628727084970746,1.006638005921141,0.07510882568266306
0.17500000000000007,0.09475059146480291,1.588235294117647,1.576470588235294,0.08941176470588233,0.6792452074526595,76.75376921027916,6.367920200754046,1.0388064532133598,0.08014201571226877
0.18000000000000008,0.09738626768330377,1.6,1.576470588235294,0.09058823529411762,-0.4675546382664304,87.28258457098025,2.96187255731589,1.0539550315694983,0.08533604797833558
