time,ref.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.I_out,pid.u,drive.torque,pendulum.alpha,pendulum.omega,pendulum.q
s,rad,V,V,-,-,m·N,rad/s²,rad/s,rad
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,-0.0,0.0,0.0
0.02,0.01096442332928075,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.02191802609648637,1.5058823529411764,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.03284999841813011,1.5176470588235293,1.4941176470588236,0.0047058823529411665,1.0,162.11920637658525,0.0,0.0,0.0
0.08,0.04374955175736355,1.5294117647058822,1.4941176470588236,0.014115987415230936,1.0,162.11920649629047,8.555072412588052,0.17139937165096322,0.0017169782058375402
0.1,0.054605929570959846,1.5411764705882354,1.4941176470588236,0.02822376644304059,1.0,158.42127556895414,8.487766030593807,0.34190691432081133,0.006852338252775004
0.12000000000000001,0.06540841792472338,1.5529411764705883,1.5058823529411764,0.0470446562619648,1.0,154.7425716233137,8.180840555010727,0.506728311207746,0.015342612762626693
0.14,0.07614635606684922,1.5647058823529412,1.5058823529411764,0.06586818559528124,1.0,151.18655404887664,7.8326001362554205,0.6649952442381039,0.027064882867496275
0.16,0.08680914694879804,1.576470588235294,1.5176470588235293,0.08935342595705913,1.0,147.77194384329763,7.450363449917216,0.8160097277817292,0.041882483353710004
0.18,0.09738626768330373,1.588235294117647,1.5411764705882354,0.11288647131089834,1.0,144.51381801513492,7.0372429845083975,0.9591539694218315,0.059641444462446465
0.19999999999999998,0.10786727992919257,1.6,1.5529411764705883,0.13173087524901705,1.0,141.42548366841405,6.596327767306165,1.093833176121433,0.08018019830044511
0.21999999999999997,0.11824184019276582,1.611764705882353,1.576470588235294,0.15055280981833805,1.0,138.51978367970904,6.13088438853489,1.2195250774884507,0.10332313524652788
0.23999999999999996,0.1284997100355792,1.6235294117647059,1.6,0.1646728723474912,1.0,103.70650343788944,5.644353877726611,1.3357983817028913,0.12888717649445447
0.25999999999999995,0.13863076617854544,1.6352941176470588,1.6352941176470588,0.1740846370533735,0.5909158585208865,-37.16249017292156,3.4462525041512424,1.4083329933153819,0.15634109522955097
0.27999999999999997,0.14862501049238874,1.6470588235294117,1.6588235294117646,0.17409040756593644,-0.9378156893364296,-192.50395752656792,-4.360154562401753,1.3246308368200153,0.18368130810003233
0.3,0.15847257986459098,1.6470588235294117,1.6941176470588235,0.16938452521299532,-1.0,-190.69808184879693,-12.887081676087279,1.0698686803611615,0.20763508488045454
0.32,0.16816375593309335,1.6588235294117646,1.7176470588235293,0.1505710564228981,-1.0,-185.2016037446638,-13.032428572057539,0.8115146729039043,0.2264565582974181
0.34,0.177688974677146,1.6705882352941177,1.7294117647058824,0.12704489554456802,-1.0,-179.62761297081724,-12.91590946930874,0.5548098342164073,0.24012515658257746
0.36000000000000004,0.18703883585584224,1.6823529411764706,1.7529411764705882,0.10351548378736848,-1.0,-174.08921288193073,-12.729892072730813,0.3011785293143502,0.24868825383800064
0.38000000000000006,0.19620411228502102,1.6941176470588235,1.7529411764705882,0.07532093711194295,-1.0,-168.61712382847287,-12.481706606467322,0.05187391172216192,0.2522200948965095
0.4000000000000001,0.2051757589433841,1.7058823529411764,1.7647058823529411,0.05178754741215296,-1.0,-163.23838295944412,-12.174400625364202,-0.1918981230623,0.25081923067905487
0.4200000000000001,0.2139449218988396,1.7176470588235293,1.7647058823529411,0.02825813564744712,-1.0,-157.97900894997147,-11.810886366103924,-0.4290119851531015,0.24460744355584071
0.4400000000000001,0.22250294704626442,1.7176470588235293,1.7529411764705882,0.009408322614826006,-0.17948521494146594,22.9982802495103,-11.394074174110182,-0.6583772840336625,0.23372716296350154
0.46000000000000013,0.23084138864806086,1.7294117647058824,1.7411764705882353,-0.004717349627713565,0.5843731880614115,176.32367442382053,-1.646082300319118,-0.6930474068187857,0.22020740323930896
0.48000000000000015,0.2389520176690803,1.7411764705882353,1.7294117647058824,-0.009423231980654758,1.0,177.0716867234366,6.627031694656213,-0.5620707324761591,0.2076516885145784
0.5000000000000001,0.24682682989768706,1.7529411764705882,1.7176470588235293,-0.004721546598243064,1.0,174.24583566572508,6.793690284745311,-0.4274198755862289,0.197752951510408
