time,ref.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.u,drive.torque,pendulum.alpha,pendulum.omega,pendulum.q
s,rad,V,V,-,m·N,rad/s²,rad/s,rad
0.02,0.01096442332928075,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.04,0.02191802609648637,1.5058823529411764,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.06,0.03284999841813011,1.5176470588235293,1.4941176470588236,0.5732520052387641,0.0,0.0,0.0,0.0
0.08,0.04374955175736355,1.5294117647058822,1.4941176470588236,0.8974189121639665,92.93520025833118,0.0,0.0,0.0
0.1,0.054605929570959846,1.5411764705882354,1.4941176470588236,1.0,145.48884354324431,4.901151416834815,0.09823330833475621,0.0009853111114246265
0.12000000000000001,0.06540841792472338,1.5529411764705883,1.4941176470588236,1.0,159.99982975736924,7.625029475497691,0.2513783785398613,0.004484171739663935
0.14,0.07614635606684922,1.5647058823529412,1.4941176470588236,1.0,156.6957371142458,8.284233097987459,0.41822821948512556,0.01118498788991439
0.16,0.08680914694879804,1.576470588235294,1.5058823529411764,1.0,153.0959484219358,7.947806747836335,0.57889579612212,0.02116138467113456
0.18,0.09738626768330373,1.588235294117647,1.5176470588235293,1.0,149.62952952445065,7.544924586551784,0.7320212339604298,0.03427776482899418
0.19999999999999998,0.10786727992919257,1.6,1.5294117647058822,1.0,146.32585974059737,7.100985683386579,0.8767227142339928,0.050373293723432695
0.21999999999999997,0.11824184019276582,1.611764705882353,1.5529411764705883,1.0,143.20391898741488,6.620532744683737,1.0122827821000913,0.06927357294963359
0.23999999999999996,0.1284997100355792,1.6235294117647059,1.5647058823529412,1.0,140.27921992805716,6.107927885674648,1.1379819640520497,0.09078702041627314
0.25999999999999995,0.13863076617854544,1.6352941176470588,1.588235294117647,1.0,137.56727173241572,5.567620768809353,1.2532606307044136,0.11471194639715934
0.27999999999999997,0.14862501049238874,1.6470588235294117,1.611764705882353,1.0,135.0801339812295,5.0043808562836505,1.357617700584379,0.14083406703599288
0.3,0.15847257986459098,1.6470588235294117,1.6470588235294117,1.0,132.82863168022345,4.4230368632474235,1.4506354241217145,0.1689313587337479
0.32,0.16816375593309335,1.6588235294117646,1.6705882352941177,-0.20662059422703855,130.8217719958361,3.828596985665617,1.5320159866479648,0.1987732589876062
0.34,0.177688974677146,1.6705882352941177,1.7058823529411764,0.18271025218160264,-66.55036651898223,3.226132975002624,1.60154535353458,0.23012473944633924
0.36000000000000004,0.18703883585584224,1.6823529411764706,1.7411764705882353,-0.36087710187240785,-4.932461463743339,-7.696800649780782,1.4523387340354466,0.2606780574092973
0.38000000000000006,0.19620411228502102,1.6941176470588235,1.776470588235294,-0.8013065125934026,-89.83928856919344,-4.87525718685355,1.3591274881633284,0.28880574188221747
0.4000000000000001,0.2051757589433841,1.7058823529411764,1.8,-1.0,-159.23028328893847,-9.75870176049373,1.1677949407881068,0.3140864260349021
0.4200000000000001,0.2139449218988396,1.7176470588235293,1.8235294117647058,-1.0,-187.31434362311748,-13.74715479461095,0.8958906315298851,0.33473236033248505
0.4400000000000001,0.22250294704626442,1.7176470588235293,1.8470588235294116,-1.0,-181.44804464257876,-15.459739607940085,0.5888199269597137,0.3495850422657356
0.46000000000000013,0.23084138864806086,1.7294117647058824,1.8705882352941177,-1.0,-174.82302153782067,-15.282115896477206,0.28433905822407085,0.3583207395330009
0.48000000000000015,0.2389520176690803,1.7411764705882353,1.8705882352941177,-1.0,-168.253827972678,-14.972469219372655,-0.01488792826076018,0.361016277720533
0.5000000000000001,0.24682682989768706,1.7529411764705882,1.8823529411764706,-1.0,-161.79799747449417,-14.576020889672217,-0.30704835951779175,0.3577934332073633
0.01,0.005482888074935513,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.02,0.01096442332928075,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.03,0.016443253276233673,1.5058823529411764,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.04,0.02191802609648637,1.5058823529411764,1.4941176470588236,0.8425555963693585,0.0,0.0,0.0,0.0
0.05,0.02738739097176622,1.5176470588235293,1.4941176470588236,0.5735845403937592,136.5938809916488,0.0,0.0,0.0
0.060000000000000005,0.03284999841813012,1.5176470588235293,1.4941176470588236,1.0,92.98921570035682,7.221161875650274,0.0722500217063081,0.0003637388504592972
0.07,0.03830450061892943,1.5294117647058822,1.4941176470588236,0.8981542777791067,160.5601421884717,4.898374561419151,0.12133491568212226,0.0013331058944281186
0.08,0.04374955175736355,1.5294117647058822,1.4941176470588236,1.0,142.99029340469122,8.446962910140778,0.2059446744529929,0.002970399789471316
0.09,0.04918380834854014,1.5411764705882354,1.4941176470588236,1.0,157.67578865890437,7.477891953298452,0.28093669623615825,0.005406421453330803
0.09999999999999999,0.054605929570959846,1.5411764705882354,1.4941176470588236,1.0,156.05797350513197,8.202680279430274,0.3632288546442483,0.008628909537604562
0.10999999999999999,0.060014577597343965,1.5529411764705883,1.5058823529411764,1.0,154.28251085895326,8.051680158602652,0.44408706539684323,0.012666013706251266
0.11999999999999998,0.06540841792472336,1.5529411764705883,1.5058823529411764,1.0,152.5380516919137,7.879376437027197,0.5232896768394245,0.017503533401498458
0.12999999999999998,0.070786119703707,1.5647058823529412,1.5176470588235293,1.0,150.82920261161595,7.696033167595329,0.6007201630783492,0.02312430763504751
0.13999999999999999,0.07614635606684919,1.5647058823529412,1.5176470588235293,0.997256809348862,149.1586335437387,7.502196807905712,0.6762744448889451,0.029510094264320632
