time,ref.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.I_out,pid.u,drive.torque,pendulum.alpha,pendulum.omega,pendulum.q
s,rad,V,V,-,-,m·N,rad/s²,rad/s,rad
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,-0.0,0.0,0.0
0.005,0.0027415285926664303,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.005482888074935513,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.008223909346841422,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.01096442332928075,1.5058823529411764,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.013704260974442082,1.5058823529411764,1.4941176470588236,0.00117647058823529,1.0,161.8028530934804,0.0,0.0,0.0
0.030000000000000002,0.016443253276233676,1.5058823529411764,1.4941176470588236,0.0023529411764705802,1.0,162.11863710322,8.559404058986905,0.0428016360339294,0.00010941985950211963
0.035,0.019181231280708554,1.5058823529411764,1.4941176470588236,0.0035294117647058703,1.0,161.19752748052787,8.571884643588682,0.08567152316433303,0.0004319485961167836
0.04,0.02191802609648637,1.5176470588235293,1.4941176470588236,0.004705882352941159,1.0,160.27257950647933,8.516139125549161,0.12827360548722894,0.0009668295837545053
0.045,0.024653468905171432,1.5176470588235293,1.4941176470588236,0.007055606343306515,1.0,159.35348981737005,8.45740801237656,0.17058908869160427,0.0017140097185660438
0.049999999999999996,0.02738739097176622,1.5176470588235293,1.4941176470588236,0.009408547519777094,1.0,158.4405112304819,8.396223557234151,0.21260551523718893,0.0026720241843386154
0.05499999999999999,0.03011962365507973,1.5176470588235293,1.4941176470588236,0.011761488696247671,1.0,157.5339820390772,8.33261916214979,0.2543107800109821,0.003839347331444483
0.05999999999999999,0.03284999841813011,1.5294117647058822,1.4941176470588236,0.014114429872718246,1.0,156.63415435629838,8.266633565345364,0.2956928814611623,0.0052143931954177535
0.06499999999999999,0.03557834683854075,1.5294117647058822,1.4941176470588236,0.017642021266555064,1.0,155.74134746626498,8.198301757304792,0.33674005697432713,0.006795516358052773
0.06999999999999999,0.03830450061892941,1.5294117647058822,1.5058823529411764,0.02117143303126093,1.0,154.85576199045602,8.127663090910882,0.377440682195127,0.008581013049442556
0.075,0.041028291597289594,1.5294117647058822,1.5058823529411764,0.023525813331218136,1.0,153.97758525882736,8.054751453579188,0.4177833589916534,0.010569121741777088
0.08,0.04374955175736355,1.5411764705882354,1.5058823529411764,0.025878754507688714,1.0,153.1072013845927,7.9796008371101665,0.4577567872567336,0.012758024568434981
0.085,0.04646811323900631,1.5411764705882354,1.5058823529411764,0.029406670560850105,1.0,152.24476241842987,7.902256468847163,0.4973499939303533,0.015145847179518349
0.09000000000000001,0.04918380834854014,1.5411764705882354,1.5058823529411764,0.032936082325556004,1.0,151.39054450317911,7.822752091729128,0.5365519897497113,0.017730662208781164
0.09500000000000001,0.0518964695690986,1.5411764705882354,1.5176470588235293,0.036465494090261896,1.0,150.54475542682835,7.741128896503173,0.5753523719291957,0.020510483757079
0.10000000000000002,0.05460592957095985,1.5529411764705883,1.5176470588235293,0.03882001693083834,1.0,149.70762420042618,7.65742518689158,0.6137405000555665,0.023483280319711447
0.10500000000000002,0.05731202122186827,1.5529411764705883,1.5176470588235293,0.04234801971644183,1.0,148.87935160455407,7.571681013403418,0.6517079070373384,0.0266469841740327
0.11000000000000003,0.060014577597344,1.5529411764705883,1.5176470588235293,0.04587743148114772,1.0,148.06020812506128,7.483936211736864,0.6892419694586059,0.02999944274470801
0.11500000000000003,0.06271343199097962,1.5529411764705883,1.5294117647058822,0.049406843245853614,1.0,147.25038143572633,7.394234924248845,0.7263339354215276,0.033538470360033025
0.12000000000000004,0.0654084179247234,1.5647058823529412,1.5294117647058822,0.05176207690309662,0.7957235663822599,110.21760367620057,7.30261778448309,0.7629735580223241,0.03726183024264626
0.12500000000000003,0.06809936915914841,1.5647058823529412,1.5294117647058822,0.055281638674595734,1.0,145.5887624059125,5.292401825725411,0.7895721690208706,0.04114425195468504
0.13000000000000003,0.07078611970370703,1.5647058823529412,1.5411764705882354,0.058812162894928306,1.0,145.08515829298972,7.110982857270664,0.8252558685104348,0.04518216931227549
0.13500000000000004,0.07346850382696993,1.5647058823529412,1.5411764705882354,0.061179203439061206,0.7137445266900464,92.48257540615276,7.029160479220862,0.8605426510754036,0.049396761412872234
0.14000000000000004,0.07614635606684923,1.576470588235294,1.5411764705882354,0.06353226555292066,0.7479270225491716,97.1364388632519,4.188987691519679,0.8816404490429491,0.053752973870505774
0.14500000000000005,0.07881951124080497,1.576470588235294,1.5529411764705883,0.06704588906040804,1.0,143.00806886846158,4.376799419105409,0.9036578707292888,0.05821725897421849
0.15000000000000005,0.08148780445603432,1.576470588235294,1.5529411764705883,0.06939990323067019,0.7399038846683983,94.08639198837623,6.743592583479836,0.9375150276910085,0.06282124357429598
0.15500000000000005,0.084151071119643,1.576470588235294,1.5647058823529412,0.07175284440714076,0.7785841964637119,99.71473837265638,4.093206614868479,0.9581385316076078,0.06756066243237485
0.16000000000000006,0.08680914694879806,1.588235294117647,1.5647058823529412,0.07293138920143534,-0.3960113405162107,-103.85180480515166,4.327636976067415,0.9799308662493242,0.07240675288032106
0.16500000000000006,0.08946186798086175,1.588235294117647,1.576470588235294,0.0752822675125937,0.9270386718451076,124.01290369254693,-6.505838511632985,0.9475548805188428,0.0772238744449851
0.17000000000000007,0.09210907058350534,1.588235294117647,1.576470588235294,0.07646094982649083,-0.25661316358507,-79.55615477916888,5.487448232800883,0.9751463033256305,0.08203232436227507
0.17500000000000007,0.09475059146480291,1.588235294117647,1.576470588235294,0.07763742041472613,-0.15373252217659353,-62.67375874839552,-5.346009660316768,0.9485724826883994,0.08684160839960556
0.18000000000000008,0.09738626768330377,1.6,1.588235294117647,0.0788138910029614,-0.058157455861432006,-45.42213295310948,-4.513951892849602,0.9261468649393565,0.0915276637598478
