time,ref.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.I_out,pid.u,drive.torque,pendulum.alpha,pendulum.omega,pendulum.q
s,rad,V,V,-,-,m·N,rad/s²,rad/s,rad
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,-0.0,0.0,0.0
0.02,0.01096442332928075,1.5058823529411764,1.4941176470588236,0.00470588235294116,0.9490196078431339,153.85431955404573,0.0,0.0,0.0
0.04,0.02191802609648637,1.5176470588235293,1.4941176470588236,0.014117647058823478,1.0,158.6066684924426,8.140288677972364,0.16280577355944728,0.0
0.06,0.03284999841813011,1.5294117647058822,1.4941176470588236,0.028235294117646956,1.0,154.985645777269,8.349054523136903,0.3306403941956796,0.003256115471188945
0.08,0.04374955175736355,1.5411764705882354,1.5058823529411764,0.042352941176470524,1.0,151.46570104940074,8.070800220442555,0.4937897859064494,0.00986892335510254
0.1,0.054605929570959846,1.5529411764705883,1.5176470588235293,0.05647058823529409,1.0,148.06351216146675,7.755139893092722,0.6514810504057019,0.01974471907323153
0.12000000000000001,0.06540841792472338,1.5647058823529412,1.5294117647058822,0.07058823529411766,1.0,144.79489271896742,7.404419378399786,0.8029837153931533,0.03277434008134557
0.14,0.07614635606684922,1.576470588235294,1.5411764705882354,0.08470588235294114,1.0,141.67446196716966,7.021169600465374,0.9476133107845626,0.04883401438920863
0.16,0.08680914694879804,1.588235294117647,1.5647058823529412,0.09411764705882346,0.6102010991868105,75.52219091871223,6.608096735230077,1.084734721127982,0.06778628060489987
0.18,0.09738626768330373,1.6,1.588235294117647,0.0988235294117647,-0.05594436524798879,-33.813883738507016,2.8245823519428566,1.146895555493148,0.0894809750274595
0.19999999999999998,0.10786727992919257,1.611764705882353,1.611764705882353,0.0988235294117647,-0.570629576832006,-115.97689447212208,-3.2593882249194315,1.0876898060330455,0.11241888613732244
0.21999999999999997,0.11824184019276582,1.6235294117647059,1.6352941176470588,0.09411764705882354,-1.0,-182.30382704608246,-7.889504739492773,0.9355586748535516,0.13417268225798334
0.23999999999999996,0.1284997100355792,1.6352941176470588,1.6588235294117646,0.08470588235294123,-1.0,-177.38528068373725,-11.641515471260721,0.7075826561531513,0.15288385575505437
0.25999999999999995,0.13863076617854544,1.6470588235294117,1.6705882352941177,0.07529411764705882,-0.8156985238543774,-142.59545624614563,-11.564390321175573,0.47995706082131234,0.16703550887811738
0.27999999999999997,0.14862501049238874,1.6470588235294117,1.6823529411764706,0.061176470588235235,-1.0,-168.27847702616404,-9.847651822921012,0.2854831982375109,0.17663465009454363
0.3,0.15847257986459098,1.6588235294117646,1.6823529411764706,0.05176470588235282,-0.0488071870725363,-9.236269687001247,-11.280148453047083,0.061352867845750864,0.18234431405929385
0.32,0.16816375593309335,1.6705882352941177,1.6941176470588235,0.04235294117647049,-0.03253812471500757,-5.362334293868699,-2.8811875884590026,0.004045398511475902,0.18357137141620888
0.34,0.177688974677146,1.6823529411764706,1.6941176470588235,0.037647058823529325,0.8959549756801877,146.31900538256596,-2.6772638795780805,-0.04947902702346926,0.1836522793864384
0.36000000000000004,0.18703883585584224,1.6941176470588235,1.6823529411764706,0.04235294117647049,1.0,160.87903171778632,5.360807544855576,0.05748206213589131,0.18266269884596903
0.38000000000000006,0.19620411228502102,1.7058823529411764,1.6941176470588235,0.04705882352941165,1.0,158.23343462442907,6.116349342554769,0.18010536154480528,0.18381234008868685
0.4000000000000001,0.2051757589433841,1.7176470588235293,1.6941176470588235,0.05647058823529398,1.0,155.65463477553806,5.929972871507869,0.2996328268578698,0.18741444731958296
0.4200000000000001,0.2139449218988396,1.7176470588235293,1.6941176470588235,0.06588235294117631,1.0,153.1547281339038,5.716407319532574,0.415503446349186,0.19340710385674037
0.4400000000000001,0.22250294704626442,1.7294117647058824,1.7058823529411764,0.07529411764705872,1.0,150.7451733411069,5.477341843320928,0.5271862381225778,0.20171717278372409
0.46000000000000013,0.23084138864806086,1.7411764705882353,1.7176470588235293,0.08470588235294113,1.0,148.4366887157092,5.214612682569152,0.6341833290142832,0.21226089754617566
0.48000000000000015,0.2389520176690803,1.7529411764705882,1.7294117647058824,0.09411764705882346,1.0,146.23932039899464,4.930190597174078,0.7360327872584439,0.22494456412646133
0.5,0.24682682989768698,1.7529411764705882,1.7529411764705882,0.09411764705882346,-0.4074988922585383,-84.02049470052071,4.6261765462561,0.8323113850016691,0.2396652198716301
