time,ref.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.u,drive_coupled.torque,pendulum.alpha,pendulum.omega,pendulum.q
s,rad,V,V,-,m·N,rad/s²,rad/s,rad
0.001,0.0005483111301320963,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.002,0.001096620907360985,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.003,0.0016449279787867964,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.004,0.002193230991516338,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.005,0.0027415285926664303,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.006,0.0032898194293672473,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.007,0.0038381021487656542,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.008,0.004386375398028544,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.009000000000000001,0.004934637824346175,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.010000000000000002,0.005482888074935513,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.011000000000000003,0.0060311247970435645,1.5058823529411764,1.4941176470588236,1.0,-0.0,0.0,0.0,0.0
0.012000000000000004,0.006579346637950715,1.5058823529411764,1.4941176470588236,1.0,92.21222604850348,0.0,0.0,0.0
0.013000000000000005,0.00712755224497407,1.5058823529411764,1.4941176470588236,1.0,163.36285097638174,4.853134638492546,0.0048531584679823185,3.120885954946283e-06
0.014000000000000005,0.007675740265470789,1.5058823529411764,1.4941176470588236,1.0,173.2102364666383,8.623228394014006,0.01347646808596077,1.2349709629708904e-05
0.015000000000000006,0.008223909346841425,1.5058823529411764,1.4941176470588236,1.0,165.8316126962833,9.161036741418743,0.022636093234764763,3.1424774319132084e-05
0.016000000000000007,0.008772058136533267,1.5058823529411764,1.4941176470588236,0.996261404422466,160.9980042235572,8.77507841665216,0.03141632938178108,5.9192673211023743e-05
0.017000000000000008,0.009320185282043657,1.5058823529411764,1.4941176470588236,0.9550221497992178,159.46492226842176,8.518064989845508,0.03993793325251058,9.557702691421667e-05
0.01800000000000001,0.009868289430923357,1.5058823529411764,1.4941176470588236,0.9157578132983764,155.40284067847116,8.435305487917978,0.04837511176929362,0.00014024177001581412
0.01900000000000001,0.010416369230779864,1.5058823529411764,1.4941176470588236,0.8784466703621964,148.8271476699983,8.220223031057243,0.0565979992614086,0.00019342192413831233
0.02000000000000001,0.010964423329280755,1.5058823529411764,1.4941176470588236,0.8430074147733767,142.0834554713043,7.872021653232219,0.06447442855750478,0.0002546479775930851
0.02100000000000001,0.011512450374157022,1.5058823529411764,1.4941176470588236,0.8093531462700589,135.9093515687763,7.514154187523126,0.0719931910835087,0.00032354139248871703
0.022000000000000013,0.012060449013206413,1.5058823529411764,1.4941176470588236,0.7773982522811472,130.22818736167403,7.186095635909488,0.0791836904343663,0.0003997558121372945
0.023000000000000013,0.012608417894296753,1.5058823529411764,1.4941176470588236,0.7470602973154999,124.86179706112416,6.88402470244114,0.08607191305922303,0.0004829805417096052
0.024000000000000014,0.013156355665369306,1.5058823529411764,1.4941176470588236,0.7182605299558699,119.76402931151375,6.598548977044073,0.09267453217494442,0.0005729255915569543
0.025000000000000015,0.013704260974442089,1.5058823529411764,1.4941176470588236,0.6909239275642411,114.92057329689017,6.327197023934604,0.09900577120706348,0.0006691592881469092
0.026000000000000016,0.014252132469613219,1.5058823529411764,1.4941176470588236,0.6649790904197056,110.3250745785821,6.0692039874226325,0.10507886792403233,0.0007715959982772145
0.027000000000000017,0.01479996879906424,1.5058823529411764,1.4941176470588236,0.6403580907010958,105.94973135230295,5.824235414756819,0.11090690321286731,0.0008799895436307837
0.028000000000000018,0.015347768611063475,1.5058823529411764,1.4941176470588236,0.6169963117749413,101.80023763140541,5.590830198098191,0.11650144546640015,0.0009940984138304258
0.02900000000000002,0.015895530553969337,1.5058823529411764,1.4941176470588236,0.5948322895403656,97.86424491676148,5.369284022939097,0.12187434197581833,0.0011136932355910807
0.03000000000000002,0.016443253276233687,1.5058823529411764,1.4941176470588236,0.5738075595554221,94.1341777017846,5.158952044251065,0.12703681139516385,0.0012385563612066406
0.03100000000000002,0.01699093542640515,1.5176470588235293,1.4941176470588236,1.0,90.58365030782618,4.95943549124946,0.13199967161661783,0.0013684813852741851
0.03200000000000002,0.01753857565313247,1.5176470588235293,1.4941176470588236,1.0,128.35342676982364,4.769346734202505,0.13677236111046864,0.0015032720404007682
0.03300000000000002,0.018086172605167823,1.5176470588235293,1.4941176470588236,1.0,158.64817031117462,6.753919571382046,0.1435248097356431,0.001644296385295735
0.03400000000000002,0.018633724931370166,1.5176470588235293,1.4941176470588236,1.0,163.01412962337153,8.356399265743676,0.15187631829901227,0.0017929537523561673
0.035000000000000024,0.019181231280708564,1.5176470588235293,1.4941176470588236,1.0,159.87961333826462,8.592089154334262,0.1604655484465848,0.0019497591146856957
0.036000000000000025,0.019728690302265532,1.5176470588235293,1.4941176470588236,1.0,157.73084213862623,8.425693985158544,0.16889474891030087,0.0021150659134767428
0.037000000000000026,0.020276100645240346,1.5176470588235293,1.4941176470588236,1.0,157.11371303259585,8.308931163730085,0.17720679851434226,0.0022885553556823077
0.03800000000000003,0.020823460958952406,1.5176470588235293,1.4941176470588236,1.0,157.01223266331093,8.27291431560637,0.18548487064173777,0.0024698938725794656
