time,ref.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.I_out,pid.u,drive_coupled.torque,pendulum.alpha,pendulum.omega,pendulum.q
s,rad,V,V,-,-,m·N,rad/s²,rad/s,rad
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,-0.0,0.0,0.0
0.02,0.01096442332928075,1.5058823529411764,1.4941176470588236,0.00470588235294116,1.0,-0.0,0.0,0.0,0.0
0.04,0.02191802609648637,1.5176470588235293,1.4941176470588236,0.014113257771483975,1.0,162.1191331310756,0.0,0.0,0.0
0.06,0.03284999841813011,1.5294117647058822,1.4941176470588236,0.028222148529492223,1.0,160.83951849133777,8.51004264317546,0.1704971961618799,0.0017079455318228319
0.08,0.04374955175736355,1.5411764705882354,1.5058823529411764,0.04233979613384402,1.0,157.16757248478058,8.420828841288413,0.3396572361596286,0.006811642826231042
0.1,0.054605929570959846,1.5529411764705883,1.5058823529411764,0.061123867595841874,1.0,153.55691289754643,8.117180234710558,0.5031801066932643,0.01524370901152805
0.12000000000000001,0.06540841792472338,1.5647058823529412,1.5176470588235293,0.07994881305696498,1.0,150.07415674487487,7.773845868039598,0.660251739256231,0.026882958744629343
0.14,0.07614635606684922,1.576470588235294,1.5411764705882354,0.09407711017343745,1.0,146.73586808619024,7.397071767482391,0.8101846548836832,0.04159357486904844
0.16,0.08680914694879804,1.588235294117647,1.5529411764705883,0.10819390667522388,1.0,143.55632042805206,6.9898017299994315,0.9523700615853526,0.059226917991304535
0.18,0.09738626768330373,1.6,1.576470588235294,0.11761409746855427,0.6121764965154803,140.54857503046674,6.55508410978143,1.0861956022163732,0.07962097119741383
0.19999999999999998,0.10786727992919257,1.611764705882353,1.6,0.12232569277864995,-0.07501714128581,74.85153673330177,6.09610299975512,1.2111879998250785,0.10260495922498772
0.21999999999999997,0.11824184019276582,1.6235294117647059,1.6235294117647059,0.12233076433542488,-0.6344270487669073,-38.688717244801616,2.3157807887225803,1.2607738187867792,0.1273355716315871
0.23999999999999996,0.1284997100355792,1.6352941176470588,1.6588235294117646,0.11291899962954255,-1.0,-129.50223722734995,-3.9954237088128415,1.1840112006154837,0.15179283102291696
0.25999999999999995,0.13863076617854544,1.6470588235294117,1.6823529411764706,0.09880525663522857,-1.0,-186.34323628722387,-9.089768602219696,1.0049763459109091,0.173690412487644
0.27999999999999997,0.14862501049238874,1.6470588235294117,1.6941176470588235,0.07998510203752585,-1.0,-181.98558986427676,-12.334469060729754,0.7604665450427902,0.19135104451205542
0.3,0.15847257986459098,1.6588235294117646,1.7058823529411764,0.06116157243624673,-1.0,-176.7080603868191,-12.285439692789865,0.5162782239483312,0.2041238442809321
0.32,0.16816375593309335,1.6705882352941177,1.7176470588235293,0.0423380430268099,-1.0,-171.45688651002519,-12.108402283666134,0.27498977648973255,0.21203957217182656
0.34,0.177688974677146,1.6823529411764706,1.7176470588235293,0.02819754521271854,-0.3289322561167038,-166.27744320330265,-11.870982781540755,0.03786791082075837,0.2151694183410058
0.36000000000000004,0.18703883585584224,1.6941176470588235,1.7176470588235293,0.01878304327773054,0.6106145271975442,-52.40365456761371,-11.577247086703872,-0.1939784514424362,0.21360762422586765
0.38000000000000006,0.19620411228502102,1.7058823529411764,1.7176470588235293,0.014075467211319605,1.0,104.01486333547739,-5.518895867657454,-0.3050415523630849,0.20861523367890386
0.4000000000000001,0.2051757589433841,1.7176470588235293,1.7058823529411764,0.01877902773230911,1.0,168.28880250638338,2.815983419010754,-0.24941838158945032,0.20306874227735247
0.4200000000000001,0.2139449218988396,1.7176470588235293,1.7058823529411764,0.02348491008525026,1.0,166.56416238496527,6.2901923217799345,-0.12404242596249322,0.19933277787766052
0.4400000000000001,0.22250294704626442,1.7294117647058824,1.7058823529411764,0.03289440123424316,1.0,163.86271626965697,6.2334550503161505,0.0005228640202761231,0.19809707740094115
0.46000000000000013,0.23084138864806086,1.7411764705882353,1.7058823529411764,0.047009223178277576,1.0,161.19427511555725,6.0752828341718415,0.1222395522866519,0.19932523855419756
0.48000000000000015,0.2389520176690803,1.7529411764705882,1.7058823529411764,0.06583012541376286,1.0,158.59171896758247,5.887651237475119,0.2405182863310403,0.20295441211302467
0.5000000000000001,0.24682682989768706,1.7529411764705882,1.7176470588235293,0.07995080236853823,1.0,156.06753517856825,5.673687379584276,0.354810604139243,0.208910133353932
