time,ref.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.u,drive.torque,pendulum.alpha,pendulum.omega,pendulum.q
s,rad,V,V,-,m·N,rad/s²,rad/s,rad
0.001,0.0005483111301320963,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.002,0.001096620907360985,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.003,0.0016449279787867964,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.004,0.002193230991516338,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.005,0.0027415285926664303,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.006,0.0032898194293672473,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.007,0.0038381021487656542,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.008,0.004386375398028544,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.009000000000000001,0.004934637824346175,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.010000000000000002,0.005482888074935513,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0
0.011000000000000003,0.0060311247970435645,1.5058823529411764,1.4941176470588236,1.0,115.57525070383126,0.0,0.0,0.0
0.012000000000000004,0.006579346637950715,1.5058823529411764,1.4941176470588236,1.0,148.66308704080126,6.114917169239594,0.006114948033544116,3.804998339444092e-06
0.013000000000000005,0.00712755224497407,1.5058823529411764,1.4941176470588236,1.0,158.0407711481392,7.8653999520175315,0.01398043529600083,1.3915526064030578e-05
0.014000000000000005,0.007675740265470789,1.5058823529411764,1.4941176470588236,1.0,160.60451633313312,8.361252822149066,0.022340430577308334,3.3151960432662045e-05
0.015000000000000006,0.008223909346841425,1.5058823529411764,1.4941176470588236,1.0,161.21038833544512,8.496452667310297,0.030836025462616795,6.06510200025474e-05
0.016000000000000007,0.008772058136533267,1.5058823529411764,1.4941176470588236,0.996261404422466,160.82087882186184,8.527939228710716,0.03935975601238012,9.580608700646511e-05
0.017000000000000008,0.009320185282043657,1.5058823529411764,1.4941176470588236,0.9550221497992178,155.812551717585,8.50662400530743,0.047869704244398036,0.0001394219206259276
0.01800000000000001,0.009868289430923357,1.5058823529411764,1.4941176470588236,0.9157578132983764,149.70965243644244,8.240783591658678,0.05611311970736048,0.00019216384802165468
0.01900000000000001,0.010416369230779864,1.5058823529411764,1.4941176470588236,0.8784466703621964,143.524333658428,7.916900636026134,0.06403441214054682,0.00025291422021988294
0.02000000000000001,0.010964423329280755,1.5058823529411764,1.4941176470588236,0.8430074147733767,137.5354201589943,7.588531535716278,0.07162726352537879,0.0003214050249389288
0.02100000000000001,0.011512450374157022,1.5058823529411764,1.4941176470588236,0.8093531462700589,131.81410012761694,7.270434094181111,0.07890200352766158,0.000397300217710058
0.022000000000000013,0.012060449013206413,1.5058823529411764,1.4941176470588236,0.7773982522811472,126.37436080657704,6.966379807257987,0.08587259340660915,0.0004802914887832998
0.023000000000000013,0.012608417894296753,1.5058823529411764,1.4941176470588236,0.7470602973154999,121.20005550244693,6.677113517364478,0.09255381583710556,0.0005700831576381788
0.024000000000000014,0.013156355665369306,1.5058823529411764,1.4941176470588236,0.7182605299558699,116.29000027126466,6.401788120566496,0.09895968890291944,0.0006662306615526231
0.025000000000000015,0.013704260974442089,1.5058823529411764,1.4941176470588236,0.6909239275642411,111.62450222366438,6.140342263851129,0.10510396431171161,0.0007686544811289394
0.026000000000000016,0.014252132469613219,1.5058823529411764,1.4941176470588236,0.6649790904197056,107.1980650634203,5.8917380594174915,0.11099954391198469,0.0008771049722822173
0.027000000000000017,0.01479996879906424,1.5058823529411764,1.4941176470588236,0.6403580907010958,102.99151022244578,5.655688663153391,0.11665898016553573,0.0009913377270025078
0.028000000000000018,0.015347768611063475,1.5058823529411764,1.4941176470588236,0.6169963117749413,99.0005058155376,5.431183123013823,0.1220938124275759,0.0011111201686868199
0.02900000000000002,0.015895530553969337,1.5058823529411764,1.4941176470588236,0.5948322895403656,95.21291574376788,5.217995815083608,0.12731536287074077,0.0012362318205348037
0.03000000000000002,0.016443253276233687,1.5058823529411764,1.4941176470588236,0.5738075595554221,91.62025721319405,5.015488022680682,0.13233431403736157,0.001366463260253527
0.03100000000000002,0.01699093542640515,1.5176470588235293,1.4941176470588236,1.0,139.7694999382476,4.823214149129092,0.1371609032353775,0.0015016157414136126
0.03200000000000002,0.01753857565313247,1.5176470588235293,1.4941176470588236,1.0,153.47904561605102,7.368452509078987,0.14452755026630396,0.001643159435603716
0.03300000000000002,0.018086172605167823,1.5176470588235293,1.4941176470588236,1.0,157.29112400833634,8.091392026522577,0.15261391709900807,0.0017925151172044284
0.03400000000000002,0.018633724931370166,1.5176470588235293,1.4941176470588236,1.0,158.2583488946681,8.29053607998688,0.16090239618342972,0.0019498758909927219
0.035000000000000024,0.019181231280708564,1.5176470588235293,1.4941176470588236,1.0,158.40843129738604,8.33903622821267,0.16923752523094604,0.00211497415704446
0.036000000000000025,0.019728690302265532,1.5176470588235293,1.4941176470588236,1.0,158.3222132950135,8.34416746723708,0.17758164172568003,0.0022883842388020754
0.037000000000000026,0.020276100645240346,1.5176470588235293,1.4941176470588236,1.0,158.1693881990759,8.336661131409834,0.1859206996289726,0.0024701357019576045
0.03800000000000003,0.020823460958952406,1.5176470588235293,1.4941176470588236,1.0,157.99748752214782,8.32549566106361,0.19424918566754995,0.00266022082640149
