time,ref.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.I_out,pid.u,drive.torque,pendulum.alpha,pendulum.omega,pendulum.q
s,rad,V,V,-,-,m·N,rad/s²,rad/s,rad
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,-0.0,0.0,0.0
0.01,0.005482888074935513,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.01096442332928075,1.5058823529411764,1.4941176470588236,0.002352941176470583,1.0,162.11840686154153,0.0,0.0,0.0
0.03,0.016443253276233673,1.5058823529411764,1.4941176470588236,0.004705882352941163,1.0,160.26902649819147,8.571880490214541,0.08575575814295684,0.0004313360419205168
0.04,0.02191802609648637,1.5176470588235293,1.4941176470588236,0.009408391979446037,1.0,158.4423470809469,8.45724143625179,0.17042301301350515,0.001712376169530794
0.05,0.02738739097176622,1.5176470588235293,1.4941176470588236,0.014114274332387195,1.0,156.64146274893372,8.332783257480218,0.25390184689372003,0.0038342382478013214
0.060000000000000005,0.03284999841813012,1.5294117647058822,1.5058823529411764,0.01882015668532836,1.0,154.86793135160863,8.19883183013675,0.3360987718173198,0.006784575613905394
0.07,0.03830450061892943,1.5294117647058822,1.5058823529411764,0.02352603903826952,1.0,153.1242568791107,8.05564512963142,0.41691613153548895,0.0105500610751962
0.08,0.04374955175736355,1.5411764705882354,1.5058823529411764,0.030578933996322766,1.0,151.41230884335462,7.903544073313761,0.49626463468497345,0.0151164529492938
0.09,0.04918380834854014,1.5411764705882354,1.5176470588235293,0.03528734139024402,1.0,149.73391170667034,7.742828976829371,0.5740567403166698,0.020468622040160835
0.09999999999999999,0.054605929570959846,1.5529411764705883,1.5176470588235293,0.04234410874919681,1.0,148.09102963898013,7.573810696092787,0.6502089434115049,0.02659059293678164
0.10999999999999999,0.060014577597343965,1.5529411764705883,1.5294117647058822,0.04705135939430163,0.9760009111482082,142.59439875803662,7.396820567309484,0.7246420212226019,0.0334655725801757
0.11999999999999998,0.06540841792472336,1.5647058823529412,1.5411764705882354,0.0517572417472428,0.9815341538553196,141.96851833916156,7.006455947402656,0.7952270883892033,0.0410657469339891
0.12999999999999998,0.070786119703707,1.5647058823529412,1.5411764705882354,0.05646312410018395,0.9934519349055493,142.40768315102667,6.864679955510511,0.8644258828457134,0.04936483075739359
0.13999999999999999,0.07614635606684919,1.576470588235294,1.5529411764705883,0.06116900645312511,1.0,141.9958937110839,6.77030355086644,0.9327165060987544,0.05835140540834483
0.15,0.08148780445603429,1.576470588235294,1.5647058823529412,0.06352194762959569,-0.10438873769404403,-38.48855825823605,6.6221271999369025,0.999576352263103,0.06801388079217703
0.16,0.08680914694879804,1.588235294117647,1.576470588235294,0.06587488880606626,0.05091338256512007,-12.666421619848894,-3.055852404114112,0.9696585087180515,0.07786076314239923
0.17,0.09210907058350533,1.588235294117647,1.588235294117647,0.06587641561524753,-0.9513139649339948,-174.7675942017504,-1.8151427529938353,0.9521218954435059,0.08747013254212642
0.18000000000000002,0.09738626768330373,1.6,1.6,0.06587641561524753,-0.7042038572647153,-132.45214916399465,-10.50918946839498,0.8476044231587558,0.0964673964371301
0.19000000000000003,0.1026394361787733,1.6,1.6,0.06587641561524753,-0.4948182015031724,-96.71084943925086,-8.375427067039514,0.7643656025908164,0.10452758927478517
0.20000000000000004,0.1078672799291926,1.611764705882353,1.611764705882353,0.06587641561524753,-0.3177391417158429,-66.59329181328417,-6.579722728364468,0.6990303814669186,0.11184416418910628
0.21000000000000005,0.11306850904234211,1.611764705882353,1.6235294117647059,0.06352675396785991,-1.0,-176.11465839295448,-5.07395922201671,0.6487105572755028,0.11858230405573682
0.22000000000000006,0.11824184019276589,1.6235294117647059,1.6235294117647059,0.0635251897136944,0.08827077801433346,2.6672549199640208,-10.945937295019334,0.539627590849539,0.12452430329499106
0.23000000000000007,0.1233859969384127,1.6235294117647059,1.6352941176470588,0.061173909879089314,-0.9649172861074611,-167.74499641519864,-1.5559160481455847,0.5244092098796266,0.12984425528572102
0.24000000000000007,0.12849971003557928,1.6352941176470588,1.6352941176470588,0.061173909879089314,0.3725017302765403,51.362535327557396,-10.633486931663004,0.41836866685155677,0.1345561117468636
0.25000000000000006,0.13358171775207697,1.6352941176470588,1.6470588235294117,0.05882446967901518,-0.7280398664002148,-127.25581475380443,0.9043482836696243,0.42768444800235095,0.13878736325129667
0.26000000000000006,0.1386307661785455,1.6470588235294117,1.6470588235294117,0.058823140355001184,0.5695385040016477,84.9544227147525,-8.59609469433978,0.34196322208493246,0.14263357844768615
0.2700000000000001,0.1436456095378362,1.6470588235294117,1.6470588235294117,0.058823140355001184,0.5724161108806338,84.85897849243393,2.585700429142439,0.36804734596867195,0.14618409611338368
0.2800000000000001,0.1486250104923888,1.6470588235294117,1.6588235294117646,0.05647458663803996,-0.562467818795004,-99.67830618963575,2.531277458944508,0.39361820596956176,0.1499928283515671
0.2900000000000001,0.15356774044952617,1.6588235294117646,1.6588235294117646,0.05647231840401077,0.7062250279982134,107.56503998422716,-7.278689201935814,0.32105393152919026,0.1535642400542794
0.3000000000000001,0.15847257986459104,1.6588235294117646,1.6588235294117646,0.05647231840401077,0.6844404474373067,103.24375284676357,3.6424111141561784,0.35769500631815343,0.1569584979068411
0.3100000000000001,0.16333831854185046,1.6705882352941177,1.6588235294117646,0.05882310404792759,1.0,153.67013145057354,3.365284545699105,0.3916058850943919,0.16070542683813532
0.3200000000000001,0.16816375593309338,1.6705882352941177,1.6705882352941177,0.05882424930677764,0.5211245040418111,74.74035267672004,5.978746161128604,0.45165021803094035,0.16492332159621842
0.3300000000000001,0.1729477014338481,1.6823529411764706,1.6705882352941177,0.061174701998526336,1.0,151.9921813537132,1.7431209889256016,0.46938352891328633,0.16952911578585017
0.34000000000000014,0.17768897467714606,1.6823529411764706,1.6823529411764706,0.06117693909484394,0.4107353916570433,55.21054847006853,5.766073260421272,0.5273671724052418,0.1745139614701975
