time,ref.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.u,drive_coupled.torque,pendulum.alpha,pendulum.omega,pendulum.q
s,rad,V,V,-,m·N,rad/s²,rad/s,rad
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,-0.0,-0.0,0.0,0.0
0.01,0.005482888074935513,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.02,0.01096442332928075,1.4941176470588236,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.03,0.016443253276233673,1.5058823529411764,1.4941176470588236,0.0,-0.0,0.0,0.0,0.0
0.04,0.02191802609648637,1.5058823529411764,1.4941176470588236,0.8425555963693585,-0.0,0.0,0.0,0.0
0.05,0.02738739097176622,1.5176470588235293,1.4941176470588236,0.5735845403937592,136.6054744291442,0.0,0.0,0.0
0.060000000000000005,0.03284999841813012,1.5176470588235293,1.4941176470588236,1.0,91.90710136018352,7.184885140151479,0.07187975112323325,0.0003619218205851749
0.07,0.03830450061892943,1.5294117647058822,1.4941176470588236,0.8981542777791067,159.84282041589188,4.857618193245065,0.12053940871602382,0.001325480255641763
0.08,0.04374955175736355,1.5294117647058822,1.4941176470588236,1.0,141.7430488784369,8.399654564313503,0.2046482736825999,0.002952223290799185
0.09,0.04918380834854014,1.5411764705882354,1.4941176470588236,1.0,156.5853146800766,7.434126071978433,0.27916217454943504,0.005372895878927249
0.09999999999999999,0.054605929570959846,1.5411764705882354,1.4941176470588236,1.0,154.86459315603383,8.168447797498088,0.3610587935460429,0.008575622929488018
0.10999999999999999,0.060014577597343965,1.5529411764705883,1.5058823529411764,1.0,153.11691552152942,8.02942000068306,0.44162646253408344,0.01258946562543511
0.11999999999999998,0.06540841792472336,1.5529411764705883,1.5058823529411764,1.0,151.400418146893,7.8739767055164505,0.5206918400830844,0.017401563069226682
0.12999999999999998,0.070786119703707,1.5647058823529412,1.5176470588235293,1.0,149.7176613142784,7.709889838995923,0.5981730360534672,0.02299649223971082
0.13999999999999999,0.07614635606684919,1.5647058823529412,1.5176470588235293,0.997256809348862,148.07034992239042,7.537553535401525,0.6739792579162628,0.029357925415364007
0.15,0.08148780445603429,1.576470588235294,1.5294117647058822,0.9852420114711269,146.0155940813118,7.357291499870238,0.7480302118522758,0.036468709741019366
0.16,0.08680914694879804,1.576470588235294,1.5294117647058822,0.9963337942600964,142.5004146349478,7.146055819862049,0.8200199498919175,0.04430978561872237
0.17,0.09210907058350533,1.588235294117647,1.5411764705882354,1.0,142.78885446580017,6.848645008388761,0.8890890114137662,0.052856338381360765
0.18000000000000002,0.09738626768330373,1.588235294117647,1.5529411764705883,1.0,141.90760978650496,6.7420984781902416,0.9571110221585216,0.062088292075067504
0.19000000000000003,0.1026394361787733,1.6,1.5647058823529412,0.2519872005925693,140.4649363940623,6.5663266810128516,1.0234410347665561,0.07199211678452823
0.20000000000000004,0.1078672799291926,1.6,1.5647058823529412,0.5629433828934998,17.787904159515502,6.352251325782963,1.0876723580302672,0.08254882426571893
0.21000000000000005,0.11306850904234211,1.611764705882353,1.576470588235294,0.7654886090573827,67.81706318078885,-0.24657308671970019,1.08591544124809,0.09341766601172662
0.22000000000000006,0.11824184019276589,1.611764705882353,1.588235294117647,0.9022862043997005,100.32150579852859,2.2094029584260335,1.1086949934506551,0.10439153844947997
0.23000000000000007,0.1233859969384127,1.6235294117647059,1.6,0.1518905082836275,121.76966767699129,3.7868480664867827,1.1472876909533307,0.11567318918953892
0.24000000000000007,0.12849971003557928,1.6235294117647059,1.611764705882353,0.495236429652647,-0.8768290985594909,4.772348183504304,1.1957636001688503,0.1273893546890915
0.25000000000000006,0.13358171775207697,1.6352941176470588,1.6235294117647059,-0.13191545088037965,54.7446352815764,-1.8307983380598523,1.1782245152737187,0.13926022011645683
0.26000000000000006,0.1386307661785455,1.6352941176470588,1.6470588235294117,0.2789284492212748,-46.97394145989977,0.9092140396810565,1.1880513436674893,0.15109238461155794
0.2700000000000001,0.1436456095378362,1.6470588235294117,1.6588235294117646,-1.0,20.257167267569514,-4.579965373481831,1.1430017491510713,0.16274847266141318
0.2800000000000001,0.1486250104923888,1.6470588235294117,1.6705882352941177,-0.457829330693946,-186.63550777054093,-1.21662132990136,1.1315686991180036,0.17412222051041001
0.2900000000000001,0.15356774044952617,1.6470588235294117,1.6823529411764706,-0.8823273822555235,-96.81620392977598,-12.22514544195507,1.010005695892777,0.18483032670562136
0.3000000000000001,0.15847257986459104,1.6588235294117646,1.6941176470588235,-1.0,-163.7051236238139,-7.680267250172253,0.9338214402580963,0.19455010852242954
0.3100000000000001,0.16333831854185046,1.6588235294117646,1.7058823529411764,-0.6333331882264128,-180.5913710298789,-11.2889193780463,0.8214963026521515,0.20332637556523173
0.3200000000000001,0.16816375593309338,1.6705882352941177,1.7058823529411764,-1.0,-118.56473010488222,-12.293621420447465,0.6990382305697806,0.21092822712891807
0.3300000000000001,0.1729477014338481,1.6705882352941177,1.7176470588235293,0.15910478812018597,-175.85045119776822,-9.117683181249685,0.6082601078211506,0.2174641918492006
0.34000000000000014,0.17768897467714606,1.6823529411764706,1.7294117647058824,-0.6935181684794067,14.503239233881727,-12.185611064127373,0.4867429835382656,0.22293943033180771
0.35000000000000014,0.18238640582475962,1.6823529411764706,1.7294117647058824,-0.44429067481646406,-122.61774494246708,-2.243791182546917,0.4646034710179574,0.22769547195513834
