time,ref.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.I_out,pid.u,drive_coupled.torque,pendulum.alpha,pendulum.omega,pendulum.q
s,rad,V,V,-,-,m·N,rad/s²,rad/s,rad
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,-0.0,0.0,0.0
0.02,0.01096442332928075,1.5058823529411764,1.4941176470588236,0.00470588235294116,1.0,-0.0,0.0,0.0,0.0
0.04,0.02191802609648637,1.5176470588235293,1.4941176470588236,0.014113257771483975,1.0,162.1191331310756,0.0,0.0,0.0
0.06,0.03284999841813011,1.5294117647058822,1.4941176470588236,0.028222148529492223,1.0,160.8395184938031,8.510042645819432,0.17049719621485207,0.00170794553235321
0.08,0.04374955175736355,1.5411764705882354,1.5058823529411764,0.04233979613384402,1.0,157.16757248354864,8.420828841306246,0.3396572362136458,0.006811642827835864
0.1,0.054605929570959846,1.5529411764705883,1.5058823529411764,0.061123867595841874,1.0,153.55691289621046,8.117180234554517,0.5031801067437418,0.0152437090141679
0.12000000000000001,0.06540841792472338,1.5647058823529412,1.5176470588235293,0.07994881305696498,1.0,150.07415675603565,7.773845867864531,0.6602517393041489,0.026882958748196586
0.14,0.07614635606684922,1.576470588235294,1.5411764705882354,0.09407711017343745,1.0,146.7358756321575,7.397071767892014,0.810184654950976,0.04159357489936608
0.16,0.08680914694879804,1.588235294117647,1.5529411764705883,0.10819390667522388,1.0,143.5564005850187,6.98980212501247,0.9523700740638822,0.059226918150951255
0.18,0.09738626768330373,1.6,1.576470588235294,0.11761409746855427,0.6121764965154803,140.5485764778961,6.5550882999902385,1.0861957026131064,0.07962097353567539
0.19999999999999998,0.10786727992919257,1.611764705882353,1.6,0.12232569277864995,-0.07501714128581,74.85162606650508,6.096103011673597,1.211187803839306,0.10260496586552606
0.21999999999999997,0.11824184019276582,1.6235294117647059,1.6235294117647059,0.12233076433542488,-0.6344270487669073,-38.6886785043157,2.315796627364703,1.2607460072036887,0.12733471495506724
0.23999999999999996,0.1284997100355792,1.6352941176470588,1.6588235294117646,0.11291899962954255,-1.0,-129.5016520500264,-3.995403086340445,1.1839840713260301,0.1517913940393898
0.25999999999999995,0.13863076617854544,1.6470588235294117,1.6823529411764706,0.09880525663522857,-1.0,-186.34266300131227,-9.089712631488089,1.0049502518853715,0.17368846020376405
0.27999999999999997,0.14862501049238874,1.6470588235294117,1.6941176470588235,0.07998510203752585,-1.0,-181.98494476662208,-12.334407053759087,0.7604416539550958,0.191348580282484
0.3,0.15847257986459098,1.6588235294117646,1.7058823529411764,0.06116157243624673,-1.0,-176.70751453873794,-12.285367777007238,0.516254713366979,0.2041208960829482
0.32,0.16816375593309335,1.6705882352941177,1.7176470588235293,0.0423380430268099,-1.0,-171.45645511567673,-12.10833033201225,0.27497266848814295,0.21203621027607641
0.34,0.177688974677146,1.6823529411764706,1.7176470588235293,0.02819754521271854,-0.3289322561167038,-166.2770868888388,-11.870909992804243,0.037839169546080784,0.2151655165698941
0.36000000000000004,0.18703883585584224,1.6941176470588235,1.7176470588235293,0.01878304327773054,0.6106145271975442,-52.40302464331749,-11.577170994815912,-0.1940060407336983,0.21360315423691725
0.38000000000000006,0.19620411228502102,1.7058823529411764,1.7176470588235293,0.014075467211319605,1.0,104.01542145680348,-5.518792313114789,-0.30507357503431565,0.20860974790454698
0.4000000000000001,0.2051757589433841,1.7176470588235293,1.7058823529411764,0.01877902773230911,1.0,168.28944476080449,2.816091287048675,-0.24944840851657107,0.2030626362133189
0.4200000000000001,0.2139449218988396,1.7176470588235293,1.7058823529411764,0.02348491008525026,1.0,166.5646932882621,6.290312103721113,-0.12407013089152982,0.19932609418955374
0.4400000000000001,0.22250294704626442,1.7294117647058824,1.7058823529411764,0.03289440123424316,1.0,163.86339971177443,6.233575833489205,0.0004975231262637621,0.19808986336880643
0.46000000000000013,0.23084138864806086,1.7411764705882353,1.7058823529411764,0.047009223178277576,1.0,161.19479404261583,6.075417816506175,0.12221672906037334,0.19931754027190451
0.48000000000000015,0.2389520176690803,1.7529411764705882,1.7058823529411764,0.06583012541376286,1.0,158.59222355485343,5.887782834913669,0.24049879776298527,0.2029463008784652
0.5000000000000001,0.24682682989768706,1.7529411764705882,1.7176470588235293,0.07995080236853823,1.0,156.06801069592893,5.673821195038269,0.3547959822146922,0.20890177703257037
